"symbol";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"CLMP";-1.77014051760383;-0.551462703287063;-3.20990070054181;0.00132780833895361;0.00225348417210405
"LDLRAD4";-0.51977254495054;-0.11021714354355;-4.71589562421532;2.40649786888844e-06;5.61125662653731e-06
"CNTNAP3";-2.70632733769626;-0.493186376310369;-5.4874332862616;4.07815958076012e-08;1.13730722385649e-07
"SHROOM3";-1.7173472649203;-0.649250792832337;-2.64512155222548;0.0081661576662405;0.012408270764803
"PRDM16";-2.51759334389897;-0.615553073674009;-4.08996957625828;4.3142977626017e-05;8.76637241580734e-05
"ZNF483";-2.45156168951955;-0.226734641235658;-10.8124708079852;3.00466327562003e-27;3.33608556738675e-26
"IRF6";-2.45717810928084;-0.259239263348505;-9.4784180356876;2.58167149350827e-21;2.02897728179412e-20
"ZFYVE28";-2.10371721077666;-0.440163797889522;-4.77939626308085;1.75822360785666e-06;4.15700667355991e-06
"MAD1L1";-0.656651330657723;-0.140527665976833;-4.67275483509403;2.97186431722034e-06;6.8541156742826e-06
"ARSA";-0.759443099927196;-0.266991587493786;-2.84444580091825;0.00444887539622505;0.0070165515830155
"SORCS2";1.76836940977044;-0.795491982106863;2.22298835129288;0.0262165854627288;0.0367881333930528
"PRKAG2";-1.25241650544648;-0.134249938532328;-9.32899127655762;1.06883253560077e-20;8.03044854525671e-20
"C1orf51";-1.12348707573153;-0.209579462274112;-5.36067352946115;8.29122388098519e-08;2.24647349748315e-07
"GALM";-1.86648933508678;-0.299635023025719;-6.22920951042019;4.68794521951851e-10;1.56473556756016e-09
"SNUPN";-0.603027106108119;-0.278922054553536;-2.16199148207685;0.03061883275863;0.0424747009860867
"RP11-923I11.7";-3.31071948577147;-1.17229089919399;-2.82414500364009;0.0047406931977414;0.00744275451230583
"MACROD1";2.73984781431078;-0.364671216328264;7.51320008718338;5.76992360170618e-14;2.68024764720419e-13
"LURAP1";-1.3425435427095;-0.294158644380833;-4.56401186351461;5.01852409807982e-06;1.13190858107509e-05
"CPNE7";2.34114766927907;-0.716973491714157;3.26531970335723;0.00109340589280279;0.0018752335199521
"GULP1";-1.93682920632879;-0.389593776972265;-4.97140693925065;6.64687677864053e-07;1.63713427962307e-06
"C8orf82";1.17887447751843;-0.275012658394493;4.28661896656183;1.81413068069008e-05;3.84855503532714e-05
"GAREML";-1.37439355709747;-0.40508852477656;-3.39282273635266;0.000691763883154878;0.00121615871097467
"ZNF300";-2.12708116137621;-0.415267419519853;-5.12219611120859;3.01997556833749e-07;7.73061738789241e-07
"EPCAM";4.47487543775018;-0.9821966682267;4.55598718923504;5.21401142498438e-06;1.17431033177907e-05
"NINJ2";2.2201842850645;-0.205109126830561;10.8244051319012;2.63786455728124e-27;2.94018736659344e-26
"LEPREL4";-1.83528078111812;-0.28478574073292;-6.44442652358532;1.16038332722169e-10;4.09674236512769e-10
"CEACAM21";1.00774205278582;-0.326679853709877;3.08480012263258;0.00203688988550508;0.00336386287671335
"GPM6A";-1.96469481181391;-0.631385141186339;-3.11172164761805;0.0018599978665718;0.00308888984044087
"NPR2";2.29771759818307;-0.745845625940853;3.08068790412841;0.00206522997115921;0.00340870684337114
"PLA2G4C";-2.80707259212115;-0.191598877135748;-14.6507778859911;1.3318214979881e-48;4.01478987584071e-47
"ATP8A2";3.3211710415823;-0.793819052884113;4.18378852147197;2.8669082599336e-05;5.9473170267126e-05
"CCDC36";-2.812853977069;-0.552440518800421;-5.09168658225302;3.54892398434736e-07;9.01105820381411e-07
"ZNF33A";0.619408448419029;-0.209740605171677;2.95321188718813;0.00314486019821309;0.0050650872779552
"TNFRSF12A";-0.935034818266159;-0.280821254960549;-3.32964404135833;0.000869570735661318;0.00151042693613459
"HPCAL4";-3.63151151457711;-0.670434558484637;-5.41665322680457;6.07249520124575e-08;1.66546897972134e-07
"UNC119";-0.760469366864336;-0.231436437205206;-3.28586706591087;0.00101668978845826;0.00175150185057307
"YPEL1";-0.461545868990124;-0.185821371280352;-2.48381478303581;0.0129983395560527;0.0191761095965963
"GRK5";-0.983970783854332;-0.244211132789553;-4.02918070365882;5.5971582300515e-05;0.000112066650442148
